name,base_name,stream_id,source,epg_id,score,method
PRIME: ABC MYRTLE BEACH-FLORENCE NEWS (WPDE) RAW,ABC MYRTLE BEACH-FLORENCE NEWS (WPDE),,locals,WPDE-DT.us_locals1,99.0,callsign
PRIME: ABC NEWS LIVE RAW,ABC NEWS LIVE,,us2,ABC.News.Live.us2,100.0,alias
PRIME: ABC PHOENIX NEWS (KNXV) RAW,ABC PHOENIX NEWS (KNXV),,locals,KNXV-DT.us_locals1,99.0,callsign
PRIME: ABC PORTLAND NEWS (KATU) RAW,ABC PORTLAND NEWS (KATU),,locals,KATU-DT.us_locals1,99.0,callsign
PRIME: ABC SAN DIEGO NEWS (KGTV) RAW,ABC SAN DIEGO NEWS (KGTV),,locals,KGTV-DT.us_locals1,99.0,callsign
PRIME: ABC SEATTLE (KOMO) RAW,ABC SEATTLE (KOMO),,locals,KOMO-DT.us_locals1,99.0,callsign
PRIME: ABC TAMPA NEWS (WFTS) RAW,ABC TAMPA NEWS (WFTS),,locals,WFTS-DT.us_locals1,99.0,callsign
PRIME: ABC TUCSON NEWS (KGUN) RAW,ABC TUCSON NEWS (KGUN),,locals,KGUN-DT.us_locals1,99.0,callsign
PRIME: ABC WACO NEWS (KXXV) RAW,ABC WACO NEWS (KXXV),,locals,KXXV-DT.us_locals1,99.0,callsign
PRIME: ABC WASHINGTON D.C. (WJLA) RAW,ABC WASHINGTON D.C. (WJLA),,locals,WJLA-DT.us_locals1,100.0,alias
PRIME: ABC11 NORTH CAROLINA RAW,ABC11 NORTH CAROLINA,,pass3_roku,ce021f67f6595e8a8a8cca45a5561440,100.0,pass3-exact
PRIME: ABC13 HOUSTON RAW,ABC13 HOUSTON,,pass3_roku,a29b3851293f5dab92a694af758f3822,100.0,pass3-exact
PRIME: ABC7 BAY AREA RAW,ABC7 BAY AREA,,pass3_roku,f99ba08f0a86593eb59a754e57720d85,100.0,pass3-exact
PRIME: ABC7 CHICAGO RAW,ABC7 CHICAGO,,pass3_roku,a480d18b23c655d38e2f2bf7275c02cb,100.0,pass3-exact
PRIME: ABC7 LOS ANGELES RAW,ABC7 LOS ANGELES,,locals,KABC-DT.us_locals1,100.0,alias
PRIME: ABC7 NEW YORK RAW,ABC7 NEW YORK,,pass3_roku,65f1e34427ef5d61a2db61cb9a2819d0,100.0,pass3-exact
PRIME: ACC DIGITAL NETWORK RAW,ACC DIGITAL NETWORK,,us2,ACC.Digital.Network.us2,100.0,alias
PRIME: ACCORDING TO JIM RAW,ACCORDING TO JIM,,pass3_samsung,US4100028ZF,100.0,pass3-exact
PRIME: ACCUWEATHER NOW RAW,ACCUWEATHER NOW,,us2,AccuWeather.HD.us2,95.0,fuzzy
PRIME: ACORN TV MYSTERIES RAW,ACORN TV MYSTERIES,,pass3_samsung,US35000201T,100.0,pass3-exact
PRIME: ACTION MAX RAW,ACTION MAX,,us2,ActionMAX.HD.us2,97.0,compact
PRIME: ADULT SWIM RAW,ADULT SWIM,,pass3_canada,Adult.Swim.ca2,100.0,pass3-exact
PRIME: ALF RAW,ALF,,pass3_plex_mjh,6a1610bebdf296985fd95603-62d1ecc8e44d39da220722aa,100.0,pass3-exact
PRIME: ALFRED HITCHCOCK PRESENTS RAW,ALFRED HITCHCOCK PRESENTS,,pass3_samsung,US1800014CG,100.0,pass3-exact
PRIME: ALIEN NATION BY DUST RAW,ALIEN NATION BY DUST,,pass3_samsung,USBC100000630,100.0,pass3-exact
PRIME: ALL REALITY WE TV RAW,ALL REALITY WE TV,,pass3_pluto,5e82530945600e0007ca076c,100.0,pass3-exact
PRIME: ALL WEDDINGS WE TV RAW,ALL WEDDINGS WE TV,,pass3_samsung,USBD1200005XR,100.0,pass3-exact
PRIME: ALL WOMEN'S SPORTS NETWORK RAW,ALL WOMEN'S SPORTS NETWORK,,pass3_pluto,686d8dd294a028da3ac59566,95.0,pass3-fuzzy
PRIME: ALL-OUT ALASKA RAW,ALL-OUT ALASKA,,pass3_roku,4fa77475640f5ab63700634c235d89a5,100.0,pass3-exact
PRIME: ALLBLK GEMS RAW,ALLBLK GEMS,,pass3_pluto,6793ea255225b515b4ba91a7,100.0,pass3-exact
PRIME: ALWAYS FUNNY RAW,ALWAYS FUNNY,,pass3_pluto,69eaa34817801c84fca05d94,100.0,pass3-exact
PRIME: AMAZON LIVE RAW,AMAZON LIVE,,pass3_samsung,US4900004KP,100.0,pass3-exact
PRIME: AMAZON MOVIES RAW,AMAZON MOVIES,,us2,Amazon.Movies.us2,98.0,exact
PRIME: AMC + RAW,AMC +,,amazon_direct,amazon::AMC +,100.0,amazon-exact
PRIME: AMC CANADA RAW,AMC CANADA,,pass3_canada,AMC.Canada.HD.ca2,100.0,pass3-exact
PRIME: AMC RAW,AMC,,amazon_direct,amazon::AMC,100.0,amazon-fuzzy
